"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"WebTemplateInputListItem","WebTemplateInputListItem.localizedDescriptions","WebTemplateInputListItem.localizedDescriptions","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/TranslatedString {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.localizedDescriptions",0,*,"",""
"WebTemplateInputListItem","WebTemplateInputListItem.currentStates","WebTemplateInputListItem.currentStates","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.currentStates",0,1,"",""
"WebTemplateInputListItem","WebTemplateInputListItem.range","WebTemplateInputListItem.range","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.range",0,1,"",""
"WebTemplateInputListItem","WebTemplateInputListItem.precision","WebTemplateInputListItem.precision","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.precision",0,1,"",""
"WebTemplateInputListItem","WebTemplateInputListItem.termBindings","WebTemplateInputListItem.termBindings","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateTermBinding {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputListItem.termBindings",0,*,"",""
"WebTemplateInputValidation","WebTemplateInputValidation","WebTemplateInputValidation","","","",0,*,"","","","null {[]} {[]}
","todo","Base definition for all types defined in FHIR type system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WebTemplateInputValidation","WebTemplateInputValidation.range","WebTemplateInputValidation.range","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateInputValidationRange {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputValidation.range",0,1,"",""
"WebTemplateInputValidation","WebTemplateInputValidation.precision","WebTemplateInputValidation.precision","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateInputValidationRange {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateInputValidation.precision",0,1,"",""
"WebTemplateInputValidationRange","WebTemplateInputValidationRange","WebTemplateInputValidationRange","","","",0,*,"","","","null {[]} {[]}
","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WebTemplateInputValidationRange","WebTemplateInputValidationRange.minOp","WebTemplateInputValidationRange.minOp","","","",1,1,"","","","code {[]} {[]}
","todo","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-range-minop","",,,,"WebTemplateInputValidationRange.minOp",1,1,"",""
